Date,Merchant,Amount,Category
2024-11-28,"BATARD BAKERY VANCOUVER, BC",35.39,CAFE
2024-11-28,"H-MART DOWNTOWN VANCOUVER, BC",10.93,MARKET
2024-11-27,"TIM HORTONS #3578 604-609-0865, BC",2.02,CAFE
2024-11-27,"SEPHORA ROBSON STREET VANCOUVER, BC",29.69,RESTAURANT
2024-11-26,"T&T SUPERMARKET #029 VANCOUVER, BC",25.0,MARKET
2024-11-25,"SQ *EARLS YALETOWN Vancouver, BC",11.8,RESTAURANT
2024-11-25,"CLASSPASS* MONTHLY CLASSPASS.COM, MT",82.95,WORKOUT
2024-11-25,"TST-Commercial Street Vancouver, BC",34.66,CAFE
2024-11-25,"COMPASS VENDING BURNAB BURNABY, BC",40.0,UTILITY
2024-11-25,"SAVE ON FOODS #940 VANCOUVER, BC",8.07,MARKET
2024-11-25,"REXALL PHARMACY #7174 VANCOUVER, BC",3.99,MARKET
2024-11-22,"TIM HORTONS #2867 604-642-0348, BC",5.25,CAFE
2024-11-21,"TIM HORTONS #2867 604-642-0348, BC",2.02,CAFE
2024-11-21,"KIMS MART VANCOUVER, BC",13.7,MARKET
2024-11-21,"H-MART DOWNTOWN VANCOUVER, BC",12.98,MARKET
2024-11-20,"TIM HORTONS #3578 604-609-0865, BC",2.02,CAFE
2024-11-18,"BAO BAKERY VANCOUVER, BC",9.71,CAFE
2024-11-18,"TIM HORTONS #0407 BURNABY, BC",7.75,CAFE
2024-11-18,"T&T SUPERMARKET #001 BURNABY, BC",4.59,MARKET
2024-11-18,"BIG WAY HOT POT KINGSWAY BURNABY, BC",20.02,RESTAURANT
2024-11-15,"COMPASS VENDING BURNAB BURNABY, BC",40.0,UTILITY
2024-11-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,UTILITY
2024-11-15,"T&T SUPERMARKET #029 VANCOUVER, BC",7.27,MARKET
2024-11-06,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,OTHER
2024-11-05,"WAL-MART SUPERCENTER#1213 BURNABY, BC",29.33,MARKET
2024-11-04,"REAL CDN SUPERSTORE #1 BURNABY, BC",4.94,MARKET
2024-11-04,"SAVE ON FOODS #940 VANCOUVER, BC",32.47,MARKET
2024-11-04,"COMPASS VENDING BURNAB BURNABY, BC",20.0,UTILITY
2024-11-04,"WAL-MART SUPERCENTER#1213 BURNABY, BC",6.0,MARKET
2024-11-04,"PAL PAL NOODLE HOUSE BURNABY, BC",58.74,RESTAURANT
2024-11-04,"UBER CANADA/UBERTRIP TORONTO, ON",26.19,UTILITY
2024-11-04,"SQ *SINGLE V COFFEE Burnaby, BC",9.45,CAFE
2024-11-04,"SEPHORA ROBSON STREET VANCOUVER, BC",58.24,RESTAURANT
2024-11-01,ZIPAIR 0000000KHC4EG WWW.ZIPAIR.NE,73.0,UTILITY
2024-10-31,"T&T SUPERMARKET #001 BURNABY, BC",3.99,MARKET
2024-10-31,"MEMORY CORNER RICHMOND, BC",154.96,RESTAURANT
2024-10-31,"WAL-MART SUPERCENTER#1213 BURNABY, BC",0.94,MARKET
2024-10-31,"WAL-MART SUPERCENTER#1213 BURNABY, BC",30.0,MARKET
2024-10-31,"VICTORIA'S SECRET STORE # BURNABY, BC",201.49,EDUCATION
2024-10-30,"SQ *MAAN FARMS Abbotsford, BC",15.0,TRAVEL
2024-10-30,"SQ *MAAN FARMS Abbotsford, BC",78.33,TRAVEL
2024-10-30,"SQ *MAAN FARMS Abbotsford, BC",23.1,TRAVEL
2024-10-29,"Vancouver Metrotown Burnaby, BC",17.81,OFFLINE
2024-10-29,"T&T SUPERMARKET #001 BURNABY, BC",5.2,MARKET
2024-10-29,"REXALL PHARMACY #7174 VANCOUVER, BC",3.59,MARKET
2024-10-28,"STARBUCKS 800-782-7282 800-782-7282, ON",10.0,CAFE
2024-10-25,"MCDONALD'S #40227 VANCOUVER, BC",1.31,RESTAURANT
2024-10-25,"SAFEWAY #4966 VANCOUVER, BC",8.65,MARKET
2024-10-25,"CLASSPASS* MONTHLY CLASSPASS.COM, MT",52.95,WORKOUT
2024-10-24,PURCHASE INTEREST,3.26,OTHER
2024-10-22,"AMZN Mktp CA*YS2JN7H63 WWW.AMAZON.CA, ON",35.8,ONLINE
2024-10-21,"SAVE ON FOODS 2254 VANCOUVER, BC",11.99,MARKET
2024-10-21,"SQ *THIERRY CHOCOLATES - Vancouver, BC",4.67,CAFE
2024-10-21,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",5.99,MARKET
2024-10-18,"MCDONALD'S #8067 Q04 VANCOUVER, BC",5.23,RESTAURANT
2024-10-17,"TST-Lunch Lady Vancouver, BC",34.69,RESTAURANT
2024-10-17,"SQ *PRADO CAFE COMMERCIAL Vancouver, BC",4.2,CAFE
2024-10-16,"DOLLARAMA # 716 VANCOUVER, BC",1.96,MARKET
2024-10-16,"T&T SUPERMARKET #029 VANCOUVER, BC",6.99,MARKET
2024-10-16,"FIDO Mobile ******2258 888-481-3436, ON",32.48,UTILITY
2024-10-16,"WAL-MART SUPERCENTER#1213 BURNABY, BC",6.3,MARKET
2024-10-15,"SAVE ON FOODS 2254 VANCOUVER, BC",7.14,MARKET
2024-10-15,"POKEY OKEY HORNBY VANCOUVER, BC",15.87,RESTAURANT
2024-10-15,"VICTORIA'S SECRET STORE # BURNABY, BC",44.69,EDUCATION
2024-10-15,"Vancouver Metrotown Burnaby, BC",36.97,OTHER
2024-10-15,"VICTORIA'S SECRET STORE # BURNABY, BC",44.69,EDUCATION
2024-10-11,"SQ *WICKED CAFE & BAKERY Vancouver, BC",4.88,CAFE
2024-10-10,"LONDON DRUGS 02 VANCOUVER, BC",11.98,MARKET
2024-10-09,"TIM HORTONS #3578 604-609-0865, BC",2.02,CAFE
2024-10-09,"TIM HORTONS #3578 604-609-0865, BC",3.14,CAFE
2024-10-07,"Matchstick Coffee Vancouver, BC",4.99,CAFE
2024-10-07,"BATARD BAKERY VANCOUVER, BC",11.53,CAFE
2024-10-07,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,OTHER
2024-10-07,"H-MART DOWNTOWN VANCOUVER, BC",22.38,MARKET
2024-10-07,"BURGER KING #16608 VANCOUVER, BC",1.98,CAFE
2024-10-07,"SAVE ON FOODS #940 VANCOUVER, BC",7.14,MARKET
2024-10-04,"BURGER KING #16608 VANCOUVER, BC",1.98,CAFE
