Date,Merchant,Amount,Payback
2024-11-28,"BATARD BAKERY VANCOUVER, BC",35.39,
2024-11-28,"H-MART DOWNTOWN VANCOUVER, BC",10.93,
2024-11-27,"TIM HORTONS #3578 604-609-0865, BC",2.02,
2024-11-27,"SEPHORA ROBSON STREET VANCOUVER, BC",29.69,
2024-11-26,"T&T SUPERMARKET #029 VANCOUVER, BC",25,
2024-11-25,"SQ *EARLS YALETOWN Vancouver, BC",11.8,
2024-11-25,"CLASSPASS* MONTHLY CLASSPASS.COM, MT",82.95,
2024-11-25,"TST-Commercial Street Vancouver, BC",34.66,
2024-11-25,"COMPASS VENDING BURNAB BURNABY, BC",40,
2024-11-25,"SAVE ON FOODS #940 VANCOUVER, BC",8.07,
2024-11-25,"REXALL PHARMACY #7174 VANCOUVER, BC",3.99,
2024-11-22,"TIM HORTONS #2867 604-642-0348, BC",5.25,
2024-11-21,"TIM HORTONS #2867 604-642-0348, BC",2.02,
2024-11-21,"KIMS MART VANCOUVER, BC",13.7,
2024-11-21,"H-MART DOWNTOWN VANCOUVER, BC",12.98,
2024-11-20,"TIM HORTONS #3578 604-609-0865, BC",2.02,
2024-11-18,"BAO BAKERY VANCOUVER, BC",9.71,
2024-11-18,"TIM HORTONS #0407 BURNABY, BC",7.75,
2024-11-18,"T&T SUPERMARKET #001 BURNABY, BC",4.59,
2024-11-18,"BIG WAY HOT POT KINGSWAY BURNABY, BC",20.02,
2024-11-15,"COMPASS VENDING BURNAB BURNABY, BC",40,
2024-11-15,PAYMENT THANK YOU/PAIEMEN T MERCI,,527.97
2024-11-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,
2024-11-15,"T&T SUPERMARKET #029 VANCOUVER, BC",7.27,
2024-11-06,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,
2024-11-05,"WAL-MART SUPERCENTER#1213 BURNABY, BC",29.33,
2024-11-04,"UBER CANADA/UBERTRIP TORONTO, ON",26.19,
2024-11-04,"SQ *SINGLE V COFFEE Burnaby, BC",9.45,
2024-11-04,"PAL PAL NOODLE HOUSE BURNABY, BC",58.74,
2024-11-04,"REAL CDN SUPERSTORE #1 BURNABY, BC",4.94,
2024-11-04,"COMPASS VENDING BURNAB BURNABY, BC",20,
2024-11-04,"SAVE ON FOODS #940 VANCOUVER, BC",32.47,
2024-11-04,"SEPHORA ROBSON STREET VANCOUVER, BC",58.24,
2024-11-04,"WAL-MART SUPERCENTER#1213 BURNABY, BC",6,
2024-11-01,ZIPAIR 0000000KHC4EG WWW.ZIPAIR.NE,73,
2024-10-31,"VICTORIA'S SECRET STORE # BURNABY, BC",201.49,
2024-10-31,"T&T SUPERMARKET #001 BURNABY, BC",3.99,
2024-10-31,"MEMORY CORNER RICHMOND, BC",154.96,
2024-10-31,"WAL-MART SUPERCENTER#1213 BURNABY, BC",0.94,
2024-10-31,"WAL-MART SUPERCENTER#1213 BURNABY, BC",30,
2024-10-30,"SQ *MAAN FARMS Abbotsford, BC",15,
2024-10-30,"SQ *MAAN FARMS Abbotsford, BC",78.33,
2024-10-30,"SQ *MAAN FARMS Abbotsford, BC",23.1,
2024-10-29,"Vancouver Metrotown Burnaby, BC",17.81,
2024-10-29,"T&T SUPERMARKET #001 BURNABY, BC",5.2,
2024-10-29,"REXALL PHARMACY #7174 VANCOUVER, BC",3.59,
2024-10-28,"STARBUCKS 800-782-7282 800-782-7282, ON",10,
2024-10-25,"CLASSPASS* MONTHLY CLASSPASS.COM, MT",52.95,
2024-10-25,"MCDONALD'S #40227 VANCOUVER, BC",1.31,
2024-10-25,"SAFEWAY #4966 VANCOUVER, BC",8.65,
2024-10-24,PURCHASE INTEREST,3.26,
2024-10-22,"AMZN Mktp CA*YS2JN7H63 WWW.AMAZON.CA, ON",35.8,
2024-10-22,PAYMENT THANK YOU/PAIEMEN T MERCI,,756.47
2024-10-21,"SAVE ON FOODS 2254 VANCOUVER, BC",11.99,
2024-10-21,"SQ *THIERRY CHOCOLATES - Vancouver, BC",4.67,
2024-10-21,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",5.99,
2024-10-18,"MCDONALD'S #8067 Q04 VANCOUVER, BC",5.23,
2024-10-17,"TST-Lunch Lady Vancouver, BC",34.69,
2024-10-17,"SQ *PRADO CAFE COMMERCIAL Vancouver, BC",4.2,
2024-10-16,"DOLLARAMA # 716 VANCOUVER, BC",1.96,
2024-10-16,"T&T SUPERMARKET #029 VANCOUVER, BC",6.99,
2024-10-16,"FIDO Mobile ******2258 888-481-3436, ON",32.48,
2024-10-16,"WAL-MART SUPERCENTER#1213 BURNABY, BC",6.3,
2024-10-15,"VICTORIA'S SECRET STORE # BURNABY, BC",44.69,
2024-10-15,"VICTORIA'S SECRET STORE # BURNABY, BC",44.69,
2024-10-15,"Vancouver Metrotown Burnaby, BC",36.97,
2024-10-15,"SAVE ON FOODS 2254 VANCOUVER, BC",7.14,
2024-10-15,"POKEY OKEY HORNBY VANCOUVER, BC",15.87,
2024-10-11,"SQ *WICKED CAFE & BAKERY Vancouver, BC",4.88,
2024-10-10,PAYMENT THANK YOU/PAIEMEN T MERCI,,1000
2024-10-10,"LONDON DRUGS 02 VANCOUVER, BC",11.98,
2024-10-09,"TIM HORTONS #3578 604-609-0865, BC",2.02,
2024-10-09,"TIM HORTONS #3578 604-609-0865, BC",3.14,
2024-10-07,"Matchstick Coffee Vancouver, BC",4.99,
2024-10-07,"BATARD BAKERY VANCOUVER, BC",11.53,
2024-10-07,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,
2024-10-07,"H-MART DOWNTOWN VANCOUVER, BC",22.38,
2024-10-07,"BURGER KING #16608 VANCOUVER, BC",1.98,
2024-10-07,"SAVE ON FOODS #940 VANCOUVER, BC",7.14,
2024-10-04,"BURGER KING #16608 VANCOUVER, BC",1.98,
2024-10-03,"BIG WAY HOT POT KINGSWAY BURNABY, BC",26.73,
2024-10-03,"REAL CDN SUPERSTORE #1 BURNABY, BC",3.33,
2024-10-01,"COMPASS VENDING BURNABY, BC",107.3,
2024-10-01,"REAL CDN SUPERSTORE #1 BURNABY, BC",9.33,
2024-09-27,"AMZN Mktp CA*KA56I99P3 WWW.AMAZON.CA, ON",45.24,
2024-09-27,CASHBACK/REMISE EN ARGENT,,74.89
2024-09-26,"Marche Mon Pitou VANCOUVER, BC",3.94,
2024-09-25,"MCDONALD'S #40227 VANCOUVER, BC",1.31,
2024-09-25,"#337 SPORT CHEK VANCOUVER, BC",3.15,
2024-09-25,"H-MART DOWNTOWN VANCOUVER, BC",12.99,
2024-09-25,"REXALL PHARMACY #7174 VANCOUVER, BC",5.65,
2024-09-24,PURCHASE INTEREST,34.78,
2024-09-24,"CLASSPASS* MONTHLY CLASSPASS.COM, MT",82.95,
2024-09-24,"LONDON DRUGS 02 VANCOUVER, BC",20.97,
2024-09-24,"#327 SPORT CHEK VANCOUVER, BC",9.45,
2024-09-23,"Nike Robson Vancouver, BC",,40.77
2024-09-23,"THE FEDERAL STORE VANCOUVER, BC",3.4,
2024-09-23,"SKEWERS PITA BAR VANCOUVER, BC",30.35,
2024-09-23,"THE FEDERAL STORE VANCOUVER, BC",9.2,
2024-09-23,"LONDON DRUGS 19 VANCOUVER, BC",6.71,
2024-09-23,"Nike Robson Vancouver, BC",40.77,
2024-09-23,"Nike Robson Vancouver, BC",41.05,
2024-09-23,"INDIGO 975 VANCOUVER, BC",7.79,
2024-09-23,"CHINATOWN BBQ VANCOUVER, BC",16.75,
2024-09-23,"BREKA BAKERY & CAFE VANCOUVER, BC",36,
2024-09-20,"BURGER KING #16608 VANCOUVER, BC",1.67,
2024-09-19,"TIM HORTONS #3578 604-609-0865, BC",4.71,
2024-09-18,"H-MART DOWNTOWN VANCOUVER, BC",12.98,
2024-09-18,"H-MART DOWNTOWN VANCOUVER, BC",12.98,
2024-09-17,PAYMENT THANK YOU/PAIEMEN T MERCI,,1000
2024-09-16,"SP STUSSY VANCOUVER VANCOUVER, BC",112,
2024-09-16,"DOLLARAMA # 818 VANCOUVER, BC",27.45,
2024-09-16,"FIDO Mobile ******2258 888-481-3436, ON",32.48,
2024-09-16,"CLASSPASS* MISSED CLAS CLASSPASS.COM, MT",16,
2024-09-16,"MARKETPLACE IGA # 16 VANCOUVER, BC",9.14,
2024-09-13,"H-MART DOWNTOWN VANCOUVER, BC",4.98,
2024-09-12,OVERLIMIT FEE,29,
2024-09-12,"TIM HORTONS #3578 604-609-0865, BC",1.91,
2024-09-12,"BRAINSTATION TORONTO, ON",261.57,
2024-09-11,"ROCANINI COFFEE ROASTERS VANCOUVER, BC",4.73,
2024-09-10,"SAFEWAY #4908 VANCOUVER, BC",9.14,
2024-09-09,"REXALL PHARMACY #7182 VANCOUVER, BC",3.99,
2024-09-09,"SAVE ON FOODS #940 VANCOUVER, BC",9.14,
2024-09-06,"GOOGLE *YouTubePremium g.co/helppay#, NS",8.95,
2024-09-06,"VANCOUVER PB RECREATION VANCOUVER, BC",131.25,
2024-09-04,"Marche Mon Pitou VANCOUVER, BC",3.94,
2024-09-03,"PAL PAL NOODLE HOUSE BURNABY, BC",62.89,
2024-09-03,"COMPASS ACCOUNT BURNAB BURNABY, BC",107.3,
2024-09-03,"ExpressVPN 310-6018492, DE 12.95 USD @ 1.386100",17.95,
2024-09-03,"MARUHACHI RA-MEN METRO BURNABY, BC",15.48,
2024-08-30,"COMPASS ACCOUNT BURNAB BURNABY, BC",10,
2024-08-30,"SQ *ROCKY POINT ICE CREAM Port Moody, BC",4.96,
2024-08-29,"WINNERS 358 VANCOUVER, BC",16.79,
2024-08-29,"SAMURAI JAPANESE RESTA VANCOUVER, BC",18.43,
2024-08-29,"SQ *PERFECTO CAFE (DAVIE) Vancouver, BC",4.46,
2024-08-29,"SQ *DANK MART Vancouver, BC",5.24,
2024-08-29,"LONDON DRUGS 02 VANCOUVER, BC",7.99,
2024-08-29,"NOFRILLS JOTI'S #3403 VANCOUVER, BC",9.48,
2024-08-28,"VANCOUVER PB RECREATION VANCOUVER, BC",,78.75
2024-08-28,"KIMS MART VANCOUVER, BC",27.09,
2024-08-28,PAYMENT THANK YOU/PAIEMEN T MERCI,,400
2024-08-27,"SQ *SLO COFFEE Vancouver, BC",4.04,
2024-08-22,"Marche Mon Pitou VANCOUVER, BC",3.94,
2024-08-22,"KIMS MART VANCOUVER, BC",7.99,
2024-08-21,"STARBUCKS 800-782-7282 800-782-7282, ON",10,
2024-08-21,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2024-08-20,"WINNERS 358 VANCOUVER, BC",39.18,
2024-08-19,"MCDONALD'S #8067 Q04 VANCOUVER, BC",5.25,
2024-08-16,"VANCOUVER PB RECREATION VANCOUVER, BC",105,
2024-08-16,PAYMENT THANK YOU/PAIEMEN T MERCI,,100
2024-08-15,"Marche Mon Pitou VANCOUVER, BC",4.2,
2024-08-15,ZIPAIR 0000000KHC4EG WWW.ZIPAIR.NE,773.6,
2024-08-15,"Trip.com Vancouver, BC",303.41,
2024-08-15,"FIDO Mobile ******2258 888-481-3436, ON",32.48,
2024-08-14,"SQ *UNO GELATO Vancouver, BC",8.39,
2024-08-14,"Marche Mon Pitou VANCOUVER, BC",3.94,
2024-08-14,"SPINSOCIETY NORTH VANCOUV, BC",218.4,
2024-08-13,"BRAINSTATION TORONTO, ON",261.63,
2024-08-13,PAYMENT THANK YOU/PAIEMEN T MERCI,,1138.17
2024-08-12,"SHOPPERS DRUG MART #28 VANCOUVER, BC",5.1,
2024-08-09,"H-MART DOWNTOWN VANCOUVER, BC",2.22,
2024-08-08,"KIMS MART VANCOUVER, BC",17.81,
2024-08-07,"KIMS MART VANCOUVER, BC",13.98,
2024-08-07,"BIG WAY HOT POT KINGSWAY BURNABY, BC",40.13,
2024-08-07,"BIG WAY HOT POT KINGSWAY BURNABY, BC",20.86,
